rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0087.jpg,34.8,0.4601,0.5041,0.4,0.44,11,4,False,False
77,frame_0302.jpg,120.8,0.4574,0.6548,0.3,0.2,13,3,False,False
78,frame_0204.jpg,81.6,0.4561,0.5202,0.2,0.68,10,2,False,False
79,frame_0320.jpg,128.0,0.4547,0.7134,0.3,0.04,14,3,False,False
80,frame_0118.jpg,47.2,0.4534,0.4908,0.4,0.44,16,4,False,False
81,frame_0215.jpg,86.0,0.4527,0.5334,0.3,0.48,14,3,False,False
82,frame_0231.jpg,92.4,0.4518,0.5997,0.4,0.16,14,4,False,False
83,frame_0303.jpg,121.2,0.4516,0.6592,0.3,0.16,13,3,False,False
84,frame_0396.jpg,158.4,0.4489,0.5938,0.4,0.16,13,4,False,False
85,frame_0178.jpg,71.2,0.4454,0.5268,0.5,0.16,16,5,False,False
86,frame_0194.jpg,77.6,0.4449,0.5978,0.3,0.28,7,3,False,False
87,frame_0181.jpg,72.4,0.4443,0.6925,0.3,0.04,16,3,False,False
88,frame_0018.jpg,7.2,0.4436,0.5753,0.2,0.48,12,2,False,False
89,frame_0202.jpg,80.8,0.4432,0.5864,0.1,0.6,11,1,False,False
90,frame_0207.jpg,82.8,0.4414,0.3827,0.3,0.8,12,3,False,False
91,frame_0127.jpg,50.8,0.4411,0.6062,0.3,0.24,12,3,False,False
92,frame_0193.jpg,77.2,0.441,0.6659,0.2,0.24,8,2,False,False
93,frame_0330.jpg,132.0,0.4402,0.5644,0.5,0.04,24,5,False,False
94,frame_0314.jpg,125.6,0.438,0.544,0.5,0.08,17,5,False,False
95,frame_0311.jpg,124.4,0.437,0.678,0.3,0.04,21,3,False,False
96,frame_0129.jpg,51.6,0.435,0.506,0.5,0.16,14,5,False,False
97,frame_0374.jpg,149.6,0.4347,0.6254,0.3,0.16,19,3,False,False
98,frame_0277.jpg,110.8,0.4338,0.6356,0.2,0.28,12,2,False,False
99,frame_0089.jpg,35.6,0.4285,0.5771,0.2,0.4,9,2,False,False
100,frame_0080.jpg,32.0,0.4281,0.5522,0.4,0.16,14,4,False,False
101,frame_0125.jpg,50.0,0.4276,0.5472,0.3,0.32,15,3,False,False
102,frame_0389.jpg,155.6,0.426,0.58,0.4,0.08,17,4,False,False
103,frame_0002.jpg,0.8,0.4219,0.5719,0.4,0.08,12,4,False,False
104,frame_0280.jpg,112.0,0.4211,0.5022,0.3,0.4,13,3,False,False
105,frame_0276.jpg,110.4,0.4209,0.6257,0.2,0.24,17,2,False,False
106,frame_0109.jpg,43.6,0.4186,0.5052,0.5,0.08,17,5,False,False
107,frame_0070.jpg,28.0,0.4177,0.5473,0.4,0.12,14,4,False,False
108,frame_0323.jpg,129.2,0.4155,0.4231,0.6,0.12,14,6,False,False
109,frame_0171.jpg,68.4,0.4153,0.4745,0.3,0.44,12,3,False,False
110,frame_0318.jpg,127.2,0.4144,0.5728,0.4,0.04,16,4,False,False
111,frame_0386.jpg,154.4,0.4144,0.5729,0.4,0.04,15,4,False,False
112,frame_0395.jpg,158.0,0.4142,0.6003,0.3,0.12,12,3,False,False
113,frame_0068.jpg,27.2,0.4138,0.4516,0.6,0.04,13,6,False,False
114,frame_0020.jpg,8.0,0.413,0.606,0.1,0.4,10,1,False,False
115,frame_0201.jpg,80.4,0.4116,0.4792,0.2,0.56,8,2,False,False
116,frame_0286.jpg,114.4,0.4095,0.559,0.3,0.2,11,3,False,False
