rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0295.jpg,118.0,0.515,0.7574,0.3478,0.16,25,8,False,False
77,frame_0094.jpg,37.6,0.5133,0.79,0.2609,0.2,19,6,False,False
78,frame_0127.jpg,50.8,0.509,0.7394,0.3043,0.24,22,7,False,False
79,frame_0398.jpg,159.2,0.5089,0.8335,0.1739,0.2,16,4,False,False
80,frame_0203.jpg,81.2,0.5084,0.7743,0.2174,0.28,18,5,False,False
81,frame_0109.jpg,43.6,0.5081,0.7233,0.4348,0.08,27,10,False,False
82,frame_0091.jpg,36.4,0.5077,0.6788,0.3478,0.32,27,8,False,False
83,frame_0068.jpg,27.2,0.5071,0.7373,0.4348,0.04,22,10,False,False
84,frame_0229.jpg,91.6,0.5065,0.8244,0.2609,0.08,29,6,False,False
85,frame_0033.jpg,13.2,0.5062,0.834,0.2174,0.12,18,5,False,False
86,frame_0231.jpg,92.4,0.5055,0.634,0.5217,0.16,34,12,False,False
87,frame_0204.jpg,81.6,0.5036,0.7026,0.3478,0.24,17,8,False,False
88,frame_0175.jpg,70.0,0.5034,0.6862,0.3478,0.28,26,8,False,False
89,frame_0317.jpg,126.8,0.5031,0.8597,0.2174,0.04,20,5,False,False
90,frame_0089.jpg,35.6,0.5023,0.7402,0.1739,0.4,18,4,False,False
91,frame_0106.jpg,42.4,0.5014,0.726,0.4348,0.04,30,10,False,False
92,frame_0186.jpg,74.4,0.5004,0.8282,0.2609,0.04,24,6,False,False
93,frame_0126.jpg,50.4,0.4986,0.7868,0.2174,0.2,26,5,False,False
94,frame_0170.jpg,68.0,0.4982,0.6479,0.2609,0.48,28,6,False,False
95,frame_0096.jpg,38.4,0.4974,0.8163,0.2174,0.12,15,5,False,False
96,frame_0090.jpg,36.0,0.4971,0.6676,0.3043,0.36,19,7,False,False
97,frame_0013.jpg,5.2,0.4954,0.7585,0.1739,0.32,11,4,False,False
98,frame_0284.jpg,113.6,0.4944,0.7986,0.1304,0.28,12,3,False,False
99,frame_0286.jpg,114.4,0.4938,0.7511,0.2609,0.2,19,6,False,False
100,frame_0031.jpg,12.4,0.4926,0.8127,0.2609,0.04,17,6,False,False
101,frame_0320.jpg,128.0,0.4923,0.786,0.3043,0.04,20,7,False,False
102,frame_0128.jpg,51.2,0.4906,0.7968,0.1739,0.2,24,4,False,False
103,frame_0297.jpg,118.8,0.4884,0.6983,0.3043,0.24,21,7,False,False
104,frame_0396.jpg,158.4,0.4879,0.8234,0.1739,0.12,22,4,False,False
105,frame_0069.jpg,27.6,0.4868,0.7069,0.3913,0.08,22,9,False,False
106,frame_0283.jpg,113.2,0.4864,0.7404,0.1739,0.32,16,4,False,False
107,frame_0301.jpg,120.4,0.4841,0.7418,0.2174,0.24,19,5,False,False
108,frame_0087.jpg,34.8,0.4838,0.7134,0.1304,0.44,19,3,False,False
109,frame_0079.jpg,31.6,0.4836,0.7887,0.2174,0.12,12,5,False,False
110,frame_0385.jpg,154.0,0.4825,0.8286,0.1739,0.08,28,4,False,False
111,frame_0130.jpg,52.0,0.4822,0.6556,0.4348,0.12,27,10,False,False
112,frame_0268.jpg,107.2,0.4814,0.7221,0.3478,0.08,31,8,False,False
113,frame_0080.jpg,32.0,0.4806,0.7406,0.2609,0.16,11,6,False,False
114,frame_0100.jpg,40.0,0.4798,0.8132,0.2174,0.04,18,5,False,False
115,frame_0386.jpg,154.4,0.4786,0.8369,0.1739,0.04,29,4,False,False
116,frame_0032.jpg,12.8,0.4785,0.7164,0.3478,0.08,19,8,False,False
117,frame_0111.jpg,44.4,0.4777,0.6828,0.3478,0.16,22,8,False,False
118,frame_0132.jpg,52.8,0.4753,0.726,0.3478,0.04,25,8,False,False
119,frame_0219.jpg,87.6,0.4738,0.6631,0.2609,0.32,23,6,False,False
120,frame_0321.jpg,128.4,0.4735,0.6802,0.3913,0.08,23,9,False,False
121,frame_0173.jpg,69.2,0.4709,0.563,0.3913,0.36,34,9,False,False
122,frame_0214.jpg,85.6,0.4672,0.766,0.1739,0.16,12,4,False,False
123,frame_0294.jpg,117.6,0.465,0.6995,0.3043,0.12,19,7,False,False
124,frame_0205.jpg,82.0,0.4648,0.667,0.3043,0.2,20,7,False,False
125,frame_0206.jpg,82.4,0.4638,0.6289,0.3913,0.16,17,9,False,False
126,frame_0195.jpg,78.0,0.4632,0.7622,0.087,0.28,8,2,False,False
127,frame_0276.jpg,110.4,0.4623,0.7361,0.2609,0.08,18,6,False,False
128,frame_0384.jpg,153.6,0.4589,0.6931,0.3478,0.04,34,8,False,False
129,frame_0293.jpg,117.2,0.4584,0.7544,0.2174,0.08,17,5,False,False
130,frame_0104.jpg,41.6,0.455,0.6332,0.4348,0.04,24,10,False,False
131,frame_0070.jpg,28.0,0.4546,0.6264,0.3913,0.12,22,9,False,False
132,frame_0185.jpg,74.0,0.4543,0.694,0.3043,0.08,24,7,False,False
133,frame_0302.jpg,120.8,0.4537,0.723,0.1739,0.2,17,4,False,False
134,frame_0014.jpg,5.6,0.4532,0.7684,0.0435,0.28,6,1,False,False
135,frame_0202.jpg,80.8,0.4532,0.7002,0.1304,0.32,18,3,False,False
136,frame_0114.jpg,45.6,0.4527,0.759,0.2174,0.04,22,5,False,False
137,frame_0193.jpg,77.2,0.4525,0.7207,0.1739,0.2,10,4,False,False
138,frame_0095.jpg,38.0,0.447,0.6995,0.2174,0.16,21,5,False,False
139,frame_0394.jpg,157.6,0.4453,0.7441,0.2174,0.04,26,5,False,False
140,frame_0088.jpg,35.2,0.445,0.5835,0.2174,0.44,13,5,False,False
141,frame_0016.jpg,6.4,0.4447,0.7833,0.0435,0.2,10,1,False,False
142,frame_0296.jpg,118.4,0.4446,0.7569,0.087,0.2,17,2,False,False
143,frame_0304.jpg,121.6,0.4446,0.7108,0.2174,0.12,18,5,False,False
144,frame_0101.jpg,40.4,0.4433,0.7763,0.1304,0.08,23,3,False,False
145,frame_0280.jpg,112.0,0.4421,0.6577,0.2174,0.24,16,5,False,False
146,frame_0026.jpg,10.4,0.442,0.6374,0.3043,0.16,18,7,False,False
147,frame_0275.jpg,110.0,0.4394,0.7323,0.2174,0.04,25,5,False,False
148,frame_0072.jpg,28.8,0.4377,0.7071,0.1739,0.16,24,4,False,False
149,frame_0131.jpg,52.4,0.4376,0.7389,0.1739,0.08,16,4,False,False
150,frame_0012.jpg,4.8,0.4355,0.6808,0.1304,0.28,11,3,False,False
151,frame_0397.jpg,158.8,0.4355,0.781,0.0435,0.16,17,1,False,False
152,frame_0215.jpg,86.0,0.4351,0.6859,0.1739,0.2,11,4,False,False
153,frame_0027.jpg,10.8,0.4339,0.6112,0.3478,0.12,23,8,False,False
154,frame_0071.jpg,28.4,0.4323,0.6962,0.1739,0.16,20,4,False,False
155,frame_0112.jpg,44.8,0.4309,0.579,0.3913,0.12,26,9,False,False
156,frame_0217.jpg,86.8,0.4303,0.6181,0.2174,0.28,19,5,False,False
157,frame_0190.jpg,76.0,0.43,0.5932,0.3913,0.08,21,9,False,False
158,frame_0279.jpg,111.6,0.4298,0.6492,0.2174,0.2,21,5,False,False
159,frame_0098.jpg,39.2,0.4293,0.6601,0.3043,0.04,23,7,False,False
160,frame_0399.jpg,159.6,0.4292,0.658,0.1739,0.24,16,4,False,False
161,frame_0082.jpg,32.8,0.4269,0.6013,0.2609,0.24,19,6,False,False
162,frame_0085.jpg,34.0,0.4255,0.6026,0.1739,0.36,18,4,False,False
163,frame_0218.jpg,87.2,0.4171,0.6019,0.1739,0.32,12,4,False,False
164,frame_0287.jpg,114.8,0.4143,0.6863,0.1304,0.16,17,3,False,False
165,frame_0001.jpg,0.4,0.4142,0.6558,0.2609,0.04,14,6,False,False
166,frame_0123.jpg,49.2,0.4138,0.6651,0.2174,0.08,24,5,False,False
167,frame_0075.jpg,30.0,0.4079,0.6694,0.2174,0.04,12,5,False,False
168,frame_0192.jpg,76.8,0.4068,0.6713,0.1304,0.16,15,3,False,False
169,frame_0281.jpg,112.4,0.4068,0.5712,0.2174,0.28,18,5,False,False
170,frame_0004.jpg,1.6,0.4066,0.7449,0.087,0.04,12,2,False,False
171,frame_0183.jpg,73.2,0.4064,0.536,0.4348,0.04,22,10,False,False
172,frame_0201.jpg,80.4,0.4037,0.5851,0.1304,0.36,12,3,False,False
173,frame_0303.jpg,121.2,0.4036,0.6388,0.1739,0.16,20,4,False,False
174,frame_0073.jpg,29.2,0.403,0.7057,0.087,0.12,18,2,False,False
175,frame_0015.jpg,6.0,0.4027,0.6832,0.0435,0.24,10,1,False,False
176,frame_0097.jpg,38.8,0.4017,0.667,0.1739,0.08,23,4,False,False
177,frame_0002.jpg,0.8,0.4009,0.6394,0.2174,0.08,14,5,False,False
178,frame_0129.jpg,51.6,0.3986,0.5767,0.2609,0.16,22,6,False,False
179,frame_0086.jpg,34.4,0.3978,0.5573,0.1304,0.4,18,3,False,False
180,frame_0308.jpg,123.2,0.394,0.6677,0.1739,0.04,17,4,False,False
181,frame_0074.jpg,29.6,0.3929,0.6755,0.1304,0.08,20,3,False,False
182,frame_0305.jpg,122.0,0.3919,0.6475,0.1739,0.08,15,4,False,False
183,frame_0078.jpg,31.2,0.3903,0.6443,0.1739,0.08,20,4,False,False
184,frame_0018.jpg,7.2,0.3895,0.6788,0.087,0.12,11,2,False,False
185,frame_0194.jpg,77.6,0.3841,0.62,0.087,0.24,15,2,False,False
186,frame_0003.jpg,1.2,0.3825,0.7068,0.0435,0.08,12,1,False,False
187,frame_0395.jpg,158.0,0.3802,0.598,0.2174,0.08,21,5,False,False
188,frame_0318.jpg,127.2,0.3782,0.6622,0.1304,0.04,17,3,False,False
189,frame_0028.jpg,11.2,0.3781,0.5676,0.2609,0.08,20,6,False,False
190,frame_0102.jpg,40.8,0.377,0.6076,0.2174,0.04,17,5,False,False
191,frame_0207.jpg,82.8,0.3769,0.5492,0.2609,0.12,16,6,False,False
192,frame_0022.jpg,8.8,0.3767,0.633,0.1739,0.04,8,4,False,False
193,frame_0277.jpg,110.8,0.3724,0.5663,0.2174,0.12,22,5,False,False
194,frame_0216.jpg,86.4,0.3707,0.5149,0.2174,0.24,13,5,False,False
195,frame_0011.jpg,4.4,0.3691,0.5378,0.1739,0.24,14,4,False,False
196,frame_0124.jpg,49.6,0.3682,0.5318,0.2609,0.12,25,6,False,False
197,frame_0189.jpg,75.6,0.3672,0.6141,0.1739,0.04,24,4,False,False
198,frame_0211.jpg,84.4,0.3653,0.6885,0.0435,0.04,11,1,False,False
199,frame_0306.jpg,122.4,0.3647,0.6352,0.1304,0.04,16,3,False,False
200,frame_0282.jpg,112.8,0.3607,0.489,0.1739,0.32,12,4,False,False
201,frame_0084.jpg,33.6,0.3599,0.5136,0.1304,0.32,18,3,False,False
202,frame_0289.jpg,115.6,0.3561,0.6019,0.1304,0.08,12,3,False,False
203,frame_0288.jpg,115.2,0.3528,0.5533,0.1739,0.12,11,4,False,False
204,frame_0290.jpg,116.0,0.3496,0.5788,0.1739,0.04,14,4,False,False
205,frame_0184.jpg,73.6,0.3483,0.5342,0.2174,0.08,17,5,False,False
206,frame_0285.jpg,114.0,0.347,0.5458,0.087,0.24,11,2,False,False
207,frame_0212.jpg,84.8,0.3458,0.5813,0.1304,0.08,11,3,False,False
208,frame_0010.jpg,4.0,0.3457,0.5071,0.1739,0.2,11,4,False,False
209,frame_0278.jpg,111.2,0.3314,0.5465,0.087,0.16,16,2,False,False
210,frame_0008.jpg,3.2,0.3308,0.5354,0.1304,0.12,14,3,False,False
211,frame_0029.jpg,11.6,0.3221,0.55,0.1304,0.04,18,3,False,False
212,frame_0025.jpg,10.0,0.3215,0.5267,0.087,0.16,18,2,False,False
213,frame_0208.jpg,83.2,0.321,0.5318,0.1304,0.08,11,3,False,False
214,frame_0020.jpg,8.0,0.3208,0.5994,0.0435,0.04,7,1,False,False
215,frame_0083.jpg,33.2,0.3208,0.4513,0.1304,0.28,16,3,False,False
216,frame_0292.jpg,116.8,0.3163,0.5904,0.0435,0.04,11,1,False,False
217,frame_0213.jpg,85.2,0.3148,0.5294,0.087,0.12,8,2,False,False
218,frame_0200.jpg,80.0,0.3113,0.4364,0.0435,0.4,6,1,False,False
219,frame_0191.jpg,76.4,0.3092,0.4661,0.1739,0.12,22,4,False,False
220,frame_0007.jpg,2.8,0.3034,0.5226,0.087,0.08,6,2,False,False
221,frame_0122.jpg,48.8,0.298,0.4234,0.2609,0.04,26,6,False,False
222,frame_0198.jpg,79.2,0.2943,0.3764,0.087,0.4,8,2,False,False
223,frame_0077.jpg,30.8,0.2919,0.5156,0.087,0.04,13,2,False,False
224,frame_0209.jpg,83.6,0.2863,0.5043,0.087,0.04,13,2,False,False
225,frame_0199.jpg,79.6,0.2836,0.3911,0.0,0.44,6,0,False,False
226,frame_0023.jpg,9.2,0.2804,0.4505,0.1304,0.08,9,3,False,False
227,frame_0009.jpg,3.6,0.2771,0.4119,0.1304,0.16,15,3,False,False
228,frame_0019.jpg,7.6,0.2646,0.4712,0.0435,0.08,9,1,False,False
229,frame_0196.jpg,78.4,0.2627,0.3974,0.0,0.32,7,0,False,False
230,frame_0006.jpg,2.4,0.2394,0.4627,0.0,0.04,7,0,False,False
231,frame_0197.jpg,78.8,0.2383,0.3064,0.0435,0.36,5,1,False,False
232,frame_0024.jpg,9.6,0.2153,0.3566,0.0435,0.12,13,1,False,False
