rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0370.jpg,148.0,0.7252,0.8344,1.0,0.04,41,23,False,True
2,frame_0324.jpg,129.6,0.7073,0.929,0.7826,0.04,36,18,False,True
3,frame_0390.jpg,156.0,0.7045,0.8813,0.8261,0.08,38,19,False,True
4,frame_0174.jpg,69.6,0.6964,0.8734,0.6522,0.32,30,15,False,True
5,frame_0330.jpg,132.0,0.6955,0.8272,0.913,0.04,46,21,False,True
6,frame_0327.jpg,130.8,0.6947,0.8778,0.8261,0.04,51,19,False,False
7,frame_0178.jpg,71.2,0.6932,0.8789,0.7391,0.16,28,17,False,False
8,frame_0328.jpg,131.2,0.692,0.8564,0.8261,0.08,45,19,False,False
9,frame_0329.jpg,131.6,0.6917,0.908,0.7391,0.08,41,17,False,False
10,frame_0332.jpg,132.8,0.6852,0.911,0.7391,0.04,45,17,False,False
11,frame_0167.jpg,66.8,0.6656,0.8304,0.4348,0.6,24,10,False,True
12,frame_0179.jpg,71.6,0.6579,0.8764,0.6522,0.12,27,15,False,True
13,frame_0372.jpg,148.8,0.6538,0.8421,0.6957,0.12,40,16,False,False
14,frame_0271.jpg,108.4,0.6482,0.837,0.7391,0.04,35,17,False,True
15,frame_0314.jpg,125.6,0.6455,0.8937,0.6087,0.08,28,14,False,True
16,frame_0391.jpg,156.4,0.6405,0.7954,0.7826,0.04,36,18,False,False
17,frame_0374.jpg,149.6,0.6386,0.8218,0.6522,0.16,40,15,False,False
18,frame_0223.jpg,89.2,0.6354,0.8676,0.5652,0.16,30,13,False,True
19,frame_0168.jpg,67.2,0.6338,0.7306,0.5217,0.56,30,12,False,False
20,frame_0323.jpg,129.2,0.6307,0.8119,0.6957,0.08,33,16,False,False
21,frame_0232.jpg,92.8,0.6306,0.816,0.6087,0.2,36,14,False,True
22,frame_0389.jpg,155.6,0.6285,0.8236,0.6957,0.04,34,16,False,False
23,frame_0181.jpg,72.4,0.6274,0.8997,0.5652,0.04,26,13,False,False
24,frame_0169.jpg,67.6,0.6225,0.7761,0.4348,0.52,33,10,False,False
25,frame_0371.jpg,148.4,0.6217,0.768,0.7391,0.08,37,17,False,False
26,frame_0272.jpg,108.8,0.6147,0.9366,0.4348,0.08,27,10,False,False
27,frame_0381.jpg,152.4,0.6138,0.7942,0.6957,0.04,38,16,False,True
28,frame_0373.jpg,149.2,0.6111,0.819,0.5652,0.16,38,13,False,False
29,frame_0273.jpg,109.2,0.604,0.8267,0.6087,0.04,34,14,False,False
30,frame_0224.jpg,89.6,0.6034,0.8979,0.4348,0.12,28,10,False,False
31,frame_0172.jpg,68.8,0.6008,0.8068,0.3913,0.4,28,9,False,False
32,frame_0375.jpg,150.0,0.5997,0.8384,0.5217,0.12,37,12,False,False
33,frame_0377.jpg,150.8,0.5969,0.7864,0.6522,0.04,33,15,False,False
34,frame_0116.jpg,46.4,0.5967,0.786,0.6522,0.04,34,15,False,False
35,frame_0117.jpg,46.8,0.596,0.7686,0.6522,0.08,31,15,False,False
36,frame_0092.jpg,36.8,0.5953,0.7917,0.4783,0.28,27,11,False,False
37,frame_0105.jpg,42.0,0.5948,0.8445,0.5217,0.08,29,12,False,False
38,frame_0125.jpg,50.0,0.5944,0.89,0.3913,0.16,29,9,False,False
39,frame_0180.jpg,72.0,0.5881,0.8051,0.5652,0.08,27,13,False,False
40,frame_0379.jpg,151.6,0.5878,0.7682,0.6522,0.04,38,15,False,False
41,frame_0118.jpg,47.2,0.5832,0.8054,0.5217,0.12,31,12,False,False
42,frame_0382.jpg,152.8,0.582,0.8088,0.5652,0.04,31,13,False,False
43,frame_0311.jpg,124.4,0.5735,0.8702,0.4348,0.04,22,10,False,False
44,frame_0269.jpg,107.6,0.5687,0.7561,0.6087,0.04,32,14,False,False
45,frame_0376.jpg,150.4,0.5676,0.8163,0.4783,0.08,31,11,False,False
46,frame_0177.jpg,70.8,0.5672,0.7414,0.5217,0.2,31,12,False,False
47,frame_0113.jpg,45.2,0.565,0.7327,0.6087,0.08,25,14,False,False
48,frame_0315.jpg,126.0,0.562,0.8211,0.4783,0.04,29,11,False,False
49,frame_0300.jpg,120.0,0.5607,0.8269,0.3043,0.28,20,7,False,False
50,frame_0220.jpg,88.0,0.5599,0.747,0.4348,0.28,28,10,False,False
51,frame_0298.jpg,119.2,0.5588,0.849,0.2609,0.28,25,6,False,False
52,frame_0225.jpg,90.0,0.5567,0.7684,0.5217,0.08,23,12,False,False
53,frame_0233.jpg,93.2,0.5562,0.7556,0.4348,0.24,35,10,False,False
54,frame_0110.jpg,44.0,0.5558,0.8549,0.3478,0.12,25,8,False,False
55,frame_0313.jpg,125.2,0.555,0.781,0.5217,0.04,26,12,False,False
56,frame_0267.jpg,106.8,0.5496,0.8687,0.3043,0.12,23,7,False,False
57,frame_0222.jpg,88.8,0.547,0.727,0.4783,0.2,33,11,False,False
58,frame_0119.jpg,47.6,0.5467,0.7223,0.5652,0.08,28,13,False,False
59,frame_0171.jpg,68.4,0.5462,0.7599,0.2609,0.44,27,6,False,False
60,frame_0322.jpg,128.8,0.5439,0.8312,0.3478,0.12,26,8,False,False
61,frame_0093.jpg,37.2,0.5361,0.7675,0.3478,0.24,22,8,False,False
62,frame_0108.jpg,43.2,0.5331,0.8155,0.3913,0.04,24,9,False,False
63,frame_0226.jpg,90.4,0.5315,0.7601,0.4783,0.04,28,11,False,False
64,frame_0221.jpg,88.4,0.5293,0.7278,0.3913,0.24,31,9,False,False
65,frame_0230.jpg,92.0,0.5283,0.826,0.3043,0.12,36,7,False,False
66,frame_0368.jpg,147.2,0.5275,0.7259,0.5217,0.04,38,12,False,False
67,frame_0120.jpg,48.0,0.5269,0.6986,0.5652,0.04,26,13,False,False
68,frame_0176.jpg,70.4,0.5269,0.7231,0.3913,0.24,30,9,False,False
69,frame_0017.jpg,6.8,0.5265,0.8324,0.2609,0.16,10,6,False,False
70,frame_0310.jpg,124.0,0.5262,0.8378,0.3043,0.08,23,7,False,False
71,frame_0228.jpg,91.2,0.5261,0.8275,0.3478,0.04,30,8,False,False
72,frame_0299.jpg,119.6,0.5227,0.7609,0.2609,0.32,21,6,False,False
73,frame_0081.jpg,32.4,0.5225,0.7825,0.3043,0.2,18,7,False,False
74,frame_0333.jpg,133.2,0.518,0.7171,0.4783,0.08,35,11,False,False
75,frame_0309.jpg,123.6,0.5158,0.8171,0.3043,0.08,23,7,False,False
