rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0091.jpg,36.4,0.5438,0.7881,0.2857,0.32,3,2,False,False
76,frame_0129.jpg,51.6,0.5437,0.6497,0.1429,0.88,6,1,False,False
77,frame_0396.jpg,158.4,0.5433,0.6798,0.5714,0.16,9,4,False,False
78,frame_0397.jpg,158.8,0.5417,0.7462,0.4286,0.2,6,3,False,False
79,frame_0174.jpg,69.6,0.5411,0.6114,0.5714,0.32,5,4,False,False
80,frame_0226.jpg,90.4,0.5406,0.6366,0.7143,0.04,5,5,False,False
81,frame_0330.jpg,132.0,0.5404,0.6362,0.7143,0.04,8,5,False,False
82,frame_0011.jpg,4.4,0.538,0.5046,0.2857,1.0,3,2,False,False
83,frame_0290.jpg,116.0,0.538,0.6703,0.1429,0.8,7,1,False,False
84,frame_0294.jpg,117.6,0.5374,0.6153,0.2857,0.72,5,2,False,False
85,frame_0115.jpg,46.0,0.5362,0.6872,0.4286,0.32,7,3,False,False
86,frame_0377.jpg,150.8,0.5346,0.6784,0.5714,0.12,10,4,False,False
87,frame_0385.jpg,154.0,0.5345,0.7319,0.4286,0.2,8,3,False,False
88,frame_0010.jpg,4.0,0.5319,0.6638,0.0,1.0,1,0,False,False
89,frame_0201.jpg,80.4,0.5316,0.582,0.4286,0.56,4,3,False,False
90,frame_0327.jpg,130.8,0.5309,0.7886,0.4286,0.04,9,3,False,False
91,frame_0015.jpg,6.0,0.5302,0.5746,0.1429,1.0,5,1,False,False
92,frame_0114.jpg,45.6,0.5295,0.6899,0.4286,0.28,7,3,False,False
93,frame_0229.jpg,91.6,0.5258,0.7625,0.4286,0.08,7,3,False,False
94,frame_0081.jpg,32.4,0.5256,0.4203,0.5714,0.72,5,4,False,False
95,frame_0089.jpg,35.6,0.5249,0.7183,0.2857,0.4,6,2,False,False
96,frame_0113.jpg,45.2,0.5227,0.6923,0.4286,0.24,5,3,False,False
97,frame_0167.jpg,66.8,0.522,0.5468,0.4286,0.6,6,3,False,False
98,frame_0004.jpg,1.6,0.5204,0.4694,0.2857,1.0,5,2,False,False
99,frame_0103.jpg,41.2,0.518,0.6292,0.5714,0.16,5,4,False,False
100,frame_0391.jpg,156.4,0.5153,0.5861,0.7143,0.04,9,5,False,False
101,frame_0181.jpg,72.4,0.5145,0.6701,0.5714,0.04,6,4,False,False
102,frame_0070.jpg,28.0,0.5139,0.5421,0.1429,1.0,5,1,False,False
103,frame_0080.jpg,32.0,0.5092,0.3715,0.5714,0.76,7,4,False,False
104,frame_0128.jpg,51.2,0.5075,0.5076,0.2857,0.84,7,2,False,False
105,frame_0186.jpg,74.4,0.5075,0.6561,0.5714,0.04,8,4,False,False
106,frame_0020.jpg,8.0,0.5072,0.5286,0.1429,1.0,4,1,False,False
107,frame_0199.jpg,79.6,0.505,0.7322,0.1429,0.48,1,1,False,False
108,frame_0318.jpg,127.2,0.5041,0.5693,0.5714,0.24,8,4,False,False
109,frame_0188.jpg,75.2,0.5034,0.5623,0.7143,0.04,9,5,False,False
110,frame_0278.jpg,111.2,0.4977,0.6103,0.4286,0.32,7,3,False,False
111,frame_0308.jpg,123.2,0.4975,0.7596,0.2857,0.16,7,2,False,False
112,frame_0006.jpg,2.4,0.4934,0.4154,0.2857,1.0,4,2,False,False
113,frame_0009.jpg,3.6,0.4917,0.4119,0.2857,1.0,2,2,False,False
114,frame_0287.jpg,114.8,0.4881,0.5328,0.2857,0.68,7,2,False,False
115,frame_0281.jpg,112.4,0.4874,0.6273,0.2857,0.44,4,2,False,False
116,frame_0386.jpg,154.4,0.4864,0.7054,0.2857,0.24,10,2,False,False
117,frame_0384.jpg,153.6,0.4848,0.7342,0.2857,0.16,7,2,False,False
118,frame_0131.jpg,52.4,0.484,0.4126,0.2857,0.96,5,2,False,False
119,frame_0297.jpg,118.8,0.4834,0.5554,0.2857,0.6,6,2,False,False
120,frame_0026.jpg,10.4,0.4823,0.3931,0.2857,1.0,4,2,False,False
121,frame_0373.jpg,149.2,0.4799,0.553,0.5714,0.16,8,4,False,False
122,frame_0282.jpg,112.8,0.4796,0.51,0.4286,0.48,5,3,False,False
123,frame_0032.jpg,12.8,0.4793,0.3872,0.2857,1.0,5,2,False,False
124,frame_0269.jpg,107.6,0.4777,0.6823,0.4286,0.04,4,3,False,False
125,frame_0193.jpg,77.2,0.4748,0.5964,0.4286,0.24,6,3,False,False
126,frame_0313.jpg,125.2,0.4731,0.9301,0.0,0.04,2,0,False,False
127,frame_0299.jpg,119.6,0.4726,0.48,0.4286,0.52,6,3,False,False
128,frame_0023.jpg,9.2,0.4718,0.4579,0.1429,1.0,3,1,False,False
129,frame_0395.jpg,158.0,0.4669,0.543,0.5714,0.12,5,4,False,False
130,frame_0398.jpg,159.2,0.4664,0.6654,0.2857,0.24,8,2,False,False
131,frame_0126.jpg,50.4,0.4659,0.4563,0.2857,0.76,8,2,False,False
132,frame_0212.jpg,84.8,0.4656,0.6055,0.1429,0.6,2,1,False,False
133,frame_0206.jpg,82.4,0.4632,0.5367,0.1429,0.76,3,1,False,False
134,frame_0275.jpg,110.0,0.463,0.6746,0.2857,0.2,8,2,False,False
135,frame_0180.jpg,72.0,0.4626,0.5503,0.5714,0.08,6,4,False,False
136,frame_0295.jpg,118.0,0.462,0.5662,0.1429,0.68,6,1,False,False
137,frame_0079.jpg,31.6,0.4605,0.5152,0.1429,0.8,6,1,False,False
138,frame_0120.jpg,48.0,0.4578,0.4504,0.4286,0.52,4,3,False,False
139,frame_0116.jpg,46.4,0.4569,0.684,0.1429,0.36,8,1,False,False
140,frame_0204.jpg,81.6,0.4558,0.4682,0.2857,0.68,2,2,False,False
141,frame_0286.jpg,114.4,0.4557,0.4839,0.2857,0.64,6,2,False,False
142,frame_0304.jpg,121.6,0.4555,0.6116,0.2857,0.32,6,2,False,False
143,frame_0321.jpg,128.4,0.4535,0.6556,0.2857,0.2,8,2,False,False
144,frame_0117.jpg,46.8,0.4489,0.5664,0.2857,0.4,6,2,False,False
145,frame_0223.jpg,89.2,0.4468,0.4867,0.5714,0.16,5,4,False,False
146,frame_0121.jpg,48.4,0.4467,0.4122,0.4286,0.56,7,3,False,False
147,frame_0303.jpg,121.2,0.4435,0.4859,0.4286,0.36,5,3,False,False
148,frame_0097.jpg,38.8,0.4418,0.5944,0.4286,0.08,6,3,False,False
149,frame_0314.jpg,125.6,0.4409,0.507,0.5714,0.08,5,4,False,False
150,frame_0230.jpg,92.0,0.4394,0.745,0.1429,0.12,7,1,False,False
151,frame_0171.jpg,68.4,0.4392,0.5309,0.2857,0.44,6,2,False,False
152,frame_0001.jpg,0.4,0.438,0.3902,0.1429,1.0,7,1,False,False
153,frame_0082.jpg,32.8,0.4374,0.3456,0.4286,0.68,6,3,False,False
154,frame_0210.jpg,84.0,0.4364,0.6007,0.0,0.68,2,0,False,False
155,frame_0013.jpg,5.2,0.4341,0.3824,0.1429,1.0,4,1,False,False
156,frame_0086.jpg,34.4,0.4335,0.4019,0.4286,0.52,5,3,False,False
157,frame_0125.jpg,50.0,0.433,0.4922,0.1429,0.72,5,1,False,False
158,frame_0094.jpg,37.6,0.4329,0.5287,0.4286,0.2,5,3,False,False
159,frame_0168.jpg,67.2,0.4313,0.4671,0.2857,0.56,7,2,False,False
160,frame_0173.jpg,69.2,0.4308,0.6319,0.1429,0.36,7,1,False,False
161,frame_0184.jpg,73.6,0.4273,0.6511,0.2857,0.08,6,2,False,False
162,frame_0178.jpg,71.2,0.427,0.5329,0.4286,0.16,6,3,False,False
163,frame_0029.jpg,11.6,0.4255,0.451,0.0,1.0,5,0,False,False
164,frame_0207.jpg,82.8,0.4236,0.3557,0.2857,0.8,3,2,False,False
165,frame_0195.jpg,78.0,0.4228,0.5462,0.2857,0.32,4,2,False,False
166,frame_0332.jpg,132.8,0.4215,0.4841,0.5714,0.04,9,4,False,False
167,frame_0025.jpg,10.0,0.4209,0.4418,0.0,1.0,1,0,False,False
168,frame_0232.jpg,92.8,0.4202,0.589,0.2857,0.2,7,2,False,False
169,frame_0104.jpg,41.6,0.4145,0.5239,0.4286,0.12,5,3,False,False
170,frame_0317.jpg,126.8,0.4145,0.5776,0.2857,0.2,8,2,False,False
171,frame_0106.jpg,42.4,0.4142,0.6409,0.2857,0.04,7,2,False,False
172,frame_0185.jpg,74.0,0.4141,0.6248,0.2857,0.08,8,2,False,False
